Index;;Description;;First segment;Last segment;;Player Anim;NPC Anim;Cutscene;;Stats Required;Stats To Get;;Norwegian;Main Link;Option 1;Link;Alt. Link;Story Value;Option 2;Link;Alt. Link;Story Value;Option 3;Link;Alt. Link;Story Value;Option 4;Link;Alt. Link;Story Value;;English;Option 1;Option 2;Option 3;Option 4;;German;Option 1;Option 2;Option 3;Option 4;;Chinese;Option 1;Option 2;Option 3;Option 4;;Japanese;Option 1;Option 2;Option 3;Option 4;;Korean;Option 1;Option 2;Option 3;Option 4
1;;Opening;;x;;;;4;;;;;;Å! Hei! Hyggelig å møte deg!;2;;;;;;;;;;;;;;;;;;Oh! Hi! Nice to meet you!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;Options 1;;;;;;5;;;;;;Jeg heter skuffet... Jeg mener... Jeg er ikke skuffet! Eller jo egentlig... Men det er ikke navnet mitt! Jeg er Floríel.;;Hvorfor er du skuffet?;9;;;Er jeg så skuffende?;3;;;Hyggelig å møte deg!;4;;;;;;;;I'm disappointed… I mean… I'm not disappointed! Well yes, actually… But that's not my name! I'm Floríel.;Why are you disappointed?;Am I that disappointing?;Nice to meet you!;;;;;;;;;;;;;;;;;;;;;;;;;
3;;x;;;;;;5;;;;;;Nei! Ikke du! Hehe…;;;;;;;;;;;;;;;;;;;No! Not you! Hehe…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;Options 2;;;;;;2;;;;;;Hyggelig å møte deg og!;;Det er enda hyggeligere å møte deg!;5;;;Hvorfor er du skuffet?;9;;;;;;;;;;;;Nice to meet you too!;It's even nicer to meet you!;Why are you disappointed?;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;Options 3;;;;;;2;;;;;;Det er hundre ganger hyggeligere å møte deg!;;Det er hyggeligst å møte deg!;6;;;Hvorfor er du skuffet?;9;;;;;;;;;;;;It's a hundred times nicer to meet you!;It's nicest to meet you!;Why are you disappointed?;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;x;;;;;;2;;;;;;Hihi! Ok, hvis du sier det så!;7;;;;;;;;;;;;;;;;;;Hihi! Ok, if you say so!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;x;;;;;;4;;;;;;…;8;;;;;;;;;;;;;;;;;;…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;;x;;;;;;4;;;;;;Vil du hjelpe meg? ...Siden du likte så godt å møte meg?;9;;;;;;;;;;;;;;;;;;Do you want to help me? Since you liked meeting me so much?;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;;x;;;;;;5;;;;;;Jeg trodde jeg fant blomsten jeg leter etter... Men det var bare en limplante.;10;;;;;;;;;;;;;;;;;;I thought I found the flower I'm looking for… But it was just a glueplant.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;;Options 4;;;;;;3;;;;;; Jeg ser etter en oransje blomst som er så fin at du blir lykkelig av å se på den! Jeg vil være lykkelig! Jeg må ha den!;;Jeg skal hjelpe deg, så du kan være lykkelig.;11;;;Du kan finne den selv.;12;;;Hvorfor må du ha blomsten for å være lykkelig?;14;;;;;;;;I'm looking for an orange flower that's so pretty you become happy just by looking at it! I want to be happy! I need it!;I'll help you, so you can be happy;You can find it yourself.;Why do you need the flower to be happy?;;;;;;;;;;;;;;;;;;;;;;;;;
11;;x;;;;;;3;;;;;;Takk! Takk! Takktakktakk!;13;;;;;;;;;;;;;;;;;;Thank you! Thank you! Thankyouthankyouthankyou!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;;x;;;;;;7;;;;;;Å! Kom igjeen! Vær så sniiiiill!;13;;;;;;;;;;;;;;;;;;Oh! Come oon! Pleeeaaase!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;;x;;;x;;;5;;;;1;;Å finne blomsten ville gjort meg så lykkelig!;;;;;;;;;;;;;;;;;;;Finding the flower would make me so happy!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;x;;;;;;8;;;;;;Han fyren med den høye hatten sa noe om en oransje blomst... Hva var det han sa igjen..?;15;;;;;;;;;;;;;;;;;;That guy with the tall hat said something about an orange flower… What did he say again…?;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;;x;;;;;;5;;;;;;Jeg hadde ikke en gang vært i verden i en dag da han sa det, så jeg fulgte ikke så godt med...;16;;;;;;;;;;;;;;;;;;I hadn't even been in the world for a day when he said it, so I wasn't really paying attention…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;;x;;;;;;8;;;;;;Men heksa sendte meg hit for å lage en krans med blomsten! Jeg tror hun sa den vil gjøre meg lykkelig... Var det ikke det hun sa..?;17;;;;;;;;;;;;;;;;;;But the witch sent me here to make a wreat with the flower! I think she said it will make me happy… Isn't that what she said?;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;;x;;;x;;;5;;;;2;;Kanskje blomsten ikke vil gjøre meg lykkelig... Men jeg må fullføre kransen min!;;;;;;;;;;;;;;;;;;;Maybe the flower won't make me happy… But I need to finish my wreath!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
